Question,Title,Date,Timestamp
反馈2个课程问题（笔记放错 和 顺序错误）,Linux pwn 探索篇,2024-6-12 回复,1725852183934
House of Apple1好像少了视频和附件,Linux pwn 探索篇,2024-6-12 回复,1725852183934
还是做不出来，有没有哥们救一下,《30小时教你玩转CTF》,2024-6-11 回答,1725852183934
请问libc依赖库是在哪里找的,Linux pwn 探索篇,2024-6-10 回复,1725852183934
请问《Linux Pwn探索篇》的靶场在哪,Linux pwn 探索篇,2024-6-3 回答,1725852183935
怎么加入本课程的微信群,.NET程序的文件解析及保护技术,2024-5-28 回答,1725852185010
师傅，我用ubuntu安装pycharm他检测不到我安装的pwntools库这个咋解决,Linux pwn 探索篇,2024-5-18 回复,1725852185010
习题3-3-2：月亮里的秘密,《30小时教你玩转CTF》,2024-5-16 回答,1725852185010
is_be方法找不到,IDA插件开发入门,2024-5-14 提问,1725852185010
binwalk无法提取?,CVE复现漏洞精讲-从基础到入门（初级篇）,2024-5-12 回答,1725852185010
课件中演示代码能共享一下吗？,.NET程序的文件解析及保护技术,2024-5-11 回答,1725852185010
挂载后复制固件的一个错误?,CVE复现漏洞精讲-从基础到入门（初级篇）,2024-5-9 回答,1725852185010
House Of IO相关问题,Linux pwn 探索篇,2024-5-9 回复,1725852185010
这个是什么时候的呢？,看雪2022 SDC,2024-5-7 回答,1725852185010
ida怎么反编译mips?,CVE复现漏洞精讲-从基础到入门（初级篇）,2024-5-7 提问,1725852185010
pwntools为什么大家都使用python2而不是python3呢？,Linux pwn 探索篇,2024-5-6 回复,1725852185010
图床挂了，如何联系官方维修？,《30小时教你玩转CTF》,2024-5-2 回答,1725852185010
请问怎么判断怎么判断的0x10对齐,《30小时教你玩转CTF》,2024-4-27 回复,1725852185010
重发请求时get方法里的空格问题,《30小时教你玩转CTF》,2024-4-26 回答,1725852185010
"请问exp中gdb.attach(p,""b *$rebase(0x1289)\nc"")这个是啥意思啊，nc是干啥用的",Linux pwn 探索篇,2024-4-25 回复,1725852185010
exp3_1.php传入参数还是得不到flag,《30小时教你玩转CTF》,2024-4-24 回答,1725852185010
exp2_1的源码什么方法找呀,《30小时教你玩转CTF》,2024-4-22 回答,1725852185010
激活网址访问不了,《30小时教你玩转CTF》,2024-4-15 回答,1725852185010
习题3_1_2_A密令？给点提示呗。用了各个方式没解开,《30小时教你玩转CTF》,2024-4-12 回复,1725852185010
本视频提供的burpsuite对应的jdk版本,《30小时教你玩转CTF》,2024-4-12 回答,1725852185010
地址栏输入a和b的值后没反应,《30小时教你玩转CTF》,2024-4-7 回答,1725852185801
靶场玩不了,《30小时教你玩转CTF》,2024-4-1 回复,1725852185801
fl{17uajiul}得出来是错的，是要解码么，还是咋的？,《30小时教你玩转CTF》,2024-3-31 回复,1725852185801
习题3-5：猜猜flag在哪,《30小时教你玩转CTF》,2024-3-30 回答,1725852185801
请问我这个为什么得不到flag,《30小时教你玩转CTF》,2024-3-28 回答,1725852185801
IDA反编译的时候没有出现数组，反而是六个int变量,《30小时教你玩转CTF》,2024-3-24 回复,1725852185801
页面没反应,《30小时教你玩转CTF》,2024-3-20 回答,1725852185801
2_5_php_exp2,《30小时教你玩转CTF》,2024-3-20 回答,1725852185801
解出a 和 b 后应该如何得到flag,《30小时教你玩转CTF》,2024-3-20 回答,1725852185801
靶场报错 libc的路径不存在,《30小时教你玩转CTF》,2024-3-20 回复,1725852185801
IDApro插件，IPYIDA安装问题,CTF PWN 入门之旅 : Linux pwn 探索篇,2024-3-20 回复,1725852185801
本节对应靶机的字符串输入不进去，没有任何反应,《30小时教你玩转CTF》,2024-3-20 回复,1725852185801
2_13_sql_1环境有问题,《30小时教你玩转CTF》,2024-3-14 回答,1725852185801
下载文件为十六进制格式，该如何转换,《30小时教你玩转CTF》,2024-3-8 回复,1725852185801
下载的文件中没有Settings.zip,CTF PWN 入门之旅 : Linux pwn 探索篇,2024-3-4 回复,1725852185801
frida Workbench插件无法识别到Android stdio的虚拟机,安卓逆向入门,2024-2-27 提问,1725852185801
习题3_5_猜猜flag在哪，这道题已经做出来flag了。为什么不对，求指导。,《30小时教你玩转CTF》,2024-2-21 提问,1725852185801
这个题目是不是上传错误了，我看到的题目和strpos的一样，提交答案一直错误。,《30小时教你玩转CTF》,2024-2-21 回答,1725852185801
字典输出value值用set去重会影响顺序怎么解决,二进制Pwn初级篇,2024-2-18 回答,1725852185801
请问这课程有相关的环境资源和学习资料下载吗？,Web安全概览、环境配置与工具介绍,2024-2-2 回答,1725852185801
以xex开头的字符串不加引号吗？,《30小时教你玩转CTF》,2024-1-30 提问,1725852186608
printf1中read堆栈平衡问题,零基础入门pwn,2024-1-27 回答,1725852186608
64位shellcode生成,Windows平台Shellcode高级开发,2024-1-18 提问,1725852186608
想要获取一下此视频项目代码,[2023秋季班]《安卓高级研修班(网课)》月薪一万计划,2024-1-9 回答,1725852186608
findbase64这道题能否讲解一下？,《30小时教你玩转CTF》,2024-1-9 回答,1725852186608
怎么确保Ghidra拥有对于findcrypt_ghidra目录的读写权限？在安装FindCrypt-Ghidra插件的时候报错 unable to locate script class:findc,Ghidra操作手册,2023-12-16 提问,1725852186608
<如何利用printf漏洞突破canary保护>中 canary的大小端转换,零基础入门pwn,2023-12-5 回答,1725852186609
pwn虚拟机root密码？,《30小时教你玩转CTF》,2023-11-27 回答,1725852186609
哈希算法的第二个特点“不同输入一定得到不同输出”是不是不太准确？碰撞概率是检验哈希算法的重要指标。,《30小时教你玩转CTF》,2023-11-20 提问,1725852186609
导入符号时，地址范围如何确定,IDA 特训营,2023-11-20 回答,1725852186609
靶场2_22_simplelogin好像存在问题，请问正确的playload是什么？,《30小时教你玩转CTF》,2023-11-11 提问,1725852186609
靶场怎么登陆不进去,《30小时教你玩转CTF》,2023-11-9 回答,1725852186609
例子2，维吉尼亚密码,《30小时教你玩转CTF》,2023-11-3 提问,1725852186609
课程用到的演示页面，浏览器插件等，能否提供一份下载地址？,《30小时教你玩转CTF》,2023-11-1 提问,1725852186609
gdb boff 0x1358,《30小时教你玩转CTF》,2023-10-28 回复,1725852186609
求师傅的Ubuntu-Re环境,《30小时教你玩转CTF》,2023-10-22 回答,1725852186609
作业里的代码和课程不一样，按照作业里的代码得到的flag是错误的，没法提交，都这样吗？,《30小时教你玩转CTF》,2023-10-18 回答,1725852186609
"2:42的算法图解 ,有哪位大佬可以详细讲一讲吗?",《30小时教你玩转CTF》,2023-10-11 提问,1725852186609
迷宫代码讲解,《30小时教你玩转CTF》,2023-10-10 回复,1725852186609
第3行语句：$_GET['id'] = urldecode($_GET['id'])  是什么意思？,《30小时教你玩转CTF》,2023-9-25 回答,1725852186609
混合字符串转换成数字，看第一个数，如果不是数字开头是不是会被当成普通字符串？如果开头是两位或更多的数字，仍然只看第一位数吗？,《30小时教你玩转CTF》,2023-9-24 回答,1725852187629
替换系统默认加载器动态加载dex的startActivitySecondMethod()方法运行报错,[2023秋季班]《安卓高级研修班(网课)》月薪三万计划,2023-9-24 提问,1725852187629
第一章的视频1-5和1-6哪里去了？,《30小时教你玩转CTF》,2023-9-23 回答,1725852187629
Frida如何在内部类中获得外部类对象(如MainActivity.this),FridaAndroid,2023-9-12 回答,1725852187629
visual studio 2022无法开发32位驱动,驱动visual&nbsp;studio&nbsp;2022,2023-9-5 回答,1725852187629
ubuntu20.04环境如何配置,零基础入门pwn,2023-8-23 回答,1725852187629
这个十六进制编辑器是什么工具，在哪里可以下载,《30小时教你玩转CTF》,2023-8-22 回答,1725852187629
编译后，llvm的IR文件，.ll文件中，没有entry，loop等lable,LLVM与代码混淆技术,2023-8-15 回复,1725852187629
如何不通过一条python语句的方式获取到`gets_got_addr`的地址,零基础入门pwn,2023-8-13 回答,1725852187629
python报错idc中无GetFunctionName模块,物联网安全漏洞实战,2023-8-11 回答,1725852187629
IDA Pro 无法按P键，或 function create,Unidbg 模拟执行精讲,2023-8-7 回答,1725852187629
为什么ShellCode 内存执行 执行到 pfnWaitForSingleObject  等待线程结束函数就出现异常,Windows平台Shellcode高级开发,2023-7-28 回答,1725852187629
项目小  ShellCode 函数老是被优化 map.txt 不生成 直接优化掉了,Windows平台Shellcode高级开发,2023-7-27 回答,1725852187629
您好，课件资料下载不了？没有课件啊,LLVM与代码混淆技术,2023-7-22 回答,1725852187629
这样不是永远无法梳理出最后的一个了吗？,Intel CPU漏洞研究,2023-7-22 回答,1725852187629
加固技术一览笔记,[2023春季班]《安卓高级研修班(网课)》月薪两万计划,2023-7-6 回答,1725852187629
为什么输入了正确的flag还是提示sorry？,LLVM与代码混淆技术,2023-7-4 回复,1725852187629
用python3写的脚本，运行一直不能getshell，请问是哪里出了问题,零基础入门pwn,2023-6-24 回答,1725852187629
ida的LazyIDA 插件  提取数据， 在逆向分析领域     提取的数据 用来干嘛,IDA 特训营,2023-6-24 回答,1725852187629
冰蝎防检测内存马如何查杀？,《冰蝎、蚁剑Java内存马查杀防御技术》,2023-6-6 回答,1725852187629
看雪问答 -- 规则说明,提问的智慧,2023-6-5 回答,1725852188356
llvmObfuscator ignored - Loadable modules not support on this platform ?,LLVM与代码混淆技术,2023-6-3 回答,1725852188356
逃逸变量的判断为什么是这样的I.isUsedOutsideOfBlock(&BB),LLVM与代码混淆技术,2023-6-3 回复,1725852188356
python3里字节转换成十六进制字符串之后编译会报不能和字节相加，应该怎么处理呢,零基础入门pwn,2023-5-25 回答,1725852188356
解压密码错误，何解？,,2023-5-23 回答,1725852188356
如何保证transmitter访问vaddr会在L3  cache留下痕迹？,Intel CPU漏洞研究,2023-5-23 回答,1725852188356
Duilib库Debug版有链接错误 无法解析的外部符号,Windows平台Shellcode高级开发,2023-5-23 回答,1725852188357
关于shellcode做“逆向”,Windows平台Shellcode高级开发,2023-5-23 回答,1725852188357
清理后vs2015重新编译，提示失败是怎么回事？,Windows平台Shellcode高级开发,2023-5-23 回答,1725852188357
objection和r0capture 学习小记,[2023春季班]《安卓高级研修班(网课)》月薪两万计划,2023-5-23 提问,1725852188357
感觉自己在阅读监控信息的时候有遇到一些瓶颈,恶意程序分析与高级对抗技术,2023-5-23 回答,1725852188357
能简单说一下提取出来的这个文件怎么分析吗？,恶意程序分析与高级对抗技术,2023-5-23 回答,1725852188357
那个绿色的粗线是循环吗，那需不需要经过多次解密？,恶意程序分析与高级对抗技术,2023-5-23 回答,1725852188357
hiew有时候不太稳定呢，在打开那个64位的dll看导出表的时候崩溃了,恶意程序分析与高级对抗技术,2023-5-23 回答,1725852188357
为什么我的OD找不见Virtualalloc,恶意程序分析与高级对抗技术,2023-5-23 回答,1725852188357
直播时间是固定的吗？,《安全编码之SQL注入》,2023-5-23 回复,1725852188357
python3使用pwntools的话，使用视频代码中payload的写法会出错,零基础入门pwn,2023-5-23 回答,1725852188357
视频中明显把shellcode字符串中的00截断，与栈上/bin/sh字符串的00截断混淆了。,零基础入门pwn,2023-5-23 回答,1725852188357
发现我的程序中buf2没有执行权限，导致最终的EOF退出。,零基础入门pwn,2023-5-23 回答,1725852188357
在将汇编代码生成.o文件时，为什么不用gcc的汇编器而要用nasm呢?,零基础入门pwn,2023-5-23 回答,1725852188357
经过两个小时的调试。。我终于找到了不需要  pop  ；ret的方法，少了个局限性。,零基础入门pwn,2023-5-23 提问,1725852189081
他怎么防止缓冲区溢出的？,零基础入门pwn,2023-5-23 回答,1725852189081
Pwn     学习第五课打卡！,零基础入门pwn,2023-5-23 提问,1725852189081
Pwn                学习第四课打卡！,零基础入门pwn,2023-5-23 提问,1725852189081
Pwn        学习第三课打卡！,零基础入门pwn,2023-5-23 提问,1725852189082
是不是忽略了栈里数据呈现出的四字节整数是小端序的问题？,零基础入门pwn,2023-5-23 回答,1725852189082
请问调用System函数之后，必须要p32(0)之后再压入参数“bin/sh”吗？,零基础入门pwn,2023-5-23 回答,1725852189082
建议更换  清华源更新，速度比官网的快很多。,零基础入门pwn,2023-5-23 提问,1725852189082
这个题目的时候我第二次溢出遇到了栈对齐的问题。,零基础入门pwn,2023-5-23 回答,1725852189082
如果能在本地使用ldd找到libc版本就不用再找了？还是说必须也要在远程在找一次？,零基础入门pwn,2023-5-23 回答,1725852189082
不清楚是python版本的问题还是什么？,零基础入门pwn,2023-5-23 回答,1725852189082
请问一下一个32位地址不是只能存4个字符串吗？,零基础入门pwn,2023-5-23 回答,1725852189082
请问一下libc.so.6 里面的所有偏移地址是不是都是一个值？,零基础入门pwn,2023-5-23 回答,1725852189082
请问一下这里是否可以用泄露的地址后用p32(canary)的方式。,零基础入门pwn,2023-5-23 回答,1725852189082
关于代码代替的问题,零基础入门pwn,2023-5-23 回答,1725852189082
请问有python3可以吗？,零基础入门pwn,2023-5-23 回答,1725852189082
在组织payload时候需要调换下顺序，没太理解,零基础入门pwn,2023-5-23 回答,1725852189082
难道是我的环境的问题吗，跟老师生成的这个不一样,零基础入门pwn,2023-5-23 回答,1725852189082
exp不对无法getshell，将offset改为0x28+0x4就可以了，请问这是为什么呢？,零基础入门pwn,2023-5-23 回答,1725852189082
为什么第一个引号会对结果造成误差呢,零基础入门pwn,2023-5-23 回答,1725852189082
调试exp的时候，单步跟到回车符看不到，是环境配置的有问题吗,零基础入门pwn,2023-5-23 回答,1725852190079
为什么不是跟教程的这个wp一样直接传参？,零基础入门pwn,2023-5-23 回答,1725852190079
有关局部变更返值的问题,零基础入门pwn,2023-5-23 回答,1725852190079
如何在shellcode里面使用异常处理,Windows平台Shellcode高级开发,2023-5-9 回答,1725852190079
ubuntu20.04环境如何配置,零基础入门pwn,2023-5-9 回答,1725852190079
课件可以分享吗,IDA插件开发入门,2023-5-8 回答,1725852190079
求帮忙看下hook sqlcipher没有打印log的问题,hooksqlcipher安卓逆向,2023-5-1 提问,1725852190079
没有权限mount，除了debugfs还有其他方式或者工具访问设备文件吗？,,2023-4-26 回答,1725852190079
请问路由器文件系统是只读怎么办？,,2023-4-26 回答,1725852190079
关于U3D游戏libil2cpp.so的发包函数,,2023-4-26 回答,1725852190079
准研究生求职Windows驱动开发相关的职位是否可行？,Windows驱动逆向,2023-4-26 回答,1725852190079
r在使用pwntools的elf板块时报错？,pwntools报错,2023-4-26 回答,1725852190079
添加.rsrc节数据,,2023-4-3 回答,1725852190079
关于二进制安全，大一信息安全专业的我应该怎么学，以及自学那些方面？,,2023-4-3 回复,1725852190079
如何将nmap或者其他端口扫描工具上传到linux服务器上,nmap内网渗透,2023-3-20 回答,1725852190079
同一个charles证书，当我把它设为用户证书时，我可以正常抓取安卓设备上Chrome浏览器的HTTPS流量；但当我把它设为系统证书时，我就不可以抓取了,,2023-2-21 回答,1725852190079
如何确定游戏打开文件时的函数调用栈的信息,,2023-2-20 回答,1725852190079
Windows 平台下编译llvm pass报错,LLVM与代码混淆技术,2023-2-12 回答,1725852190079
求矩形中心点和边交点距离,,2023-2-12 回答,1725852190079
通过dlopen函数打开136字节大小的so文件可以将藏匿于程序头表的汇编指令运行，这是如何做到的。,elf文件,2023-1-3 回答,1725852190079
ept_map MSRPC EPT 调用问题,,2022-12-30 回答,1725852190754
求助，同样的代码(runpe)，为什么生成的时候子系统选择窗口就可以使用，选择控制台使用的时候就会报错？,,2022-12-30 回答,1725852190754
DX11 绘制空心矩形,,2022-12-26 回答,1725852190754
Unity如何反射获得泛型函数的地址？,,2022-12-26 回答,1725852190754
frida hook函数时怎么获取当前实例,frida,2022-12-15 回答,1725852190754
从内存中加载PE文件，通过入口点执行，不支持静态局部变量,PE内存加载,2022-12-12 回答,1725852190754
"OLLVM把调用函数地址变成常量,有大神知道怎么分析吗？",,2022-12-12 回答,1725852190754
X64dbg log 输出的表达式，如何支持寄存器的值与浮点数相乘？,,2022-12-11 回答,1725852190754
frida中要怎么获取(构建)jclass的类引用,fridajclass类引用,2022-12-6 回答,1725852190754
windbg怎么下断点，观察内核态调用用户态过程,windbgwindows,2022-12-6 回答,1725852190754
internet选项的设置怎么通过程序来实现？,,2022-12-6 回答,1725852190754
Android Killer回编译失败报错libpng error: Read Error,,2022-12-6 回答,1725852190754
在虚拟机上安装.sys文件提示找不到模块,,2022-11-15 回答,1725852190754
inlinehook的地址问题,inlinhook,2022-11-8 回答,1725852190754
[求助]ida与od关于入口的疑问,idaod,2022-10-13 回答,1725852190754
小白求助：某金融app抓包后请求体和响应体看不到明文,app抓包sslprotobuf协议,2022-9-27 回答,1725852190754
[求助]apk重新打包疑问,,2022-9-23 回答,1725852190754
请问驱动文件修改了一个字节都无法启动是为什么？,,2022-9-9 回答,1725852190754
如何切换ida pro7.5 的 IDApython 的 python版本。,,2022-7-15 回答,1725852190754
为何会出现这个问题,,2022-7-1 回答,1725852190754
